Name,Price,Year,Engine,Distance,City
Hyundai Elantra,11 500 AZN,2011,1.8 L,230 000 km,Bakı
Hyundai Santa Fe,34 700 AZN,2015,2.0 L,164 000 km,Bakı
Chevrolet Cruze,13 200 AZN,2015,1.4 L,167 000 km,Lənkəran
Toyota Camry,45 900 $,2023,2.5 L,10 km,Bakı
LADA (VAZ) 2109,4 200 AZN,1996,1.5 L,207 000 km,Zaqatala
Kia Optima,22 000 AZN,2013,2.0 L,297 729 km,Masallı
Li Auto L9,72 900 $,2024,1.5 L,0 km,Bakı
LADA (VAZ) 2107,2 500 AZN,1986,1.6 L,99 000 km,Bakı
Hyundai Santa Fe,32 300 AZN,2014,2.0 L,205 514 km,Sumqayıt
Hyundai Sonata,23 500 AZN,2015,2.4 L,136 794 km,Bakı
Mercedes E 220,24 700 AZN,2009,2.2 L,270 200 km,Bakı
Mercedes C 240,10 900 AZN,2002,2.4 L,263 548 km,Sumqayıt
Hyundai Santa Fe,34 900 AZN,2016,2.0 L,134 000 km,Bakı
Chevrolet Cruze,13 500 AZN,2013,1.8 L,191 000 km,Bakı
Toyota Land Cruiser Prado,35 500 $,2014,2.7 L,17 000 km,Bakı
Chevrolet Equinox,27 300 AZN,2018,1.5 L,106 250 km,Bakı
Toyota Corolla,12 900 AZN,2005,1.4 L,388 000 km,Sumqayıt
Porsche Panamera 4,25 000 $,2012,3.6 L,147 000 km,Sumqayıt
Kia Soul,22 000 AZN,2018,1.6 L,127 138 km,Bakı
Chevrolet Aveo,11 500 AZN,2012,1.4 L,307 000 km,Sumqayıt
Hyundai Sonata,22 800 AZN,2010,2.4 L,118 000 km,Bakı
Hyundai Santa Fe,45 500 AZN,2019,2.0 L,47 000 km,Bakı
Kia Sportage,29 500 AZN,2015,2.0 L,266 000 km,Bakı
Opel Omega,7 300 AZN,2000,2.2 L,213 021 km,Bakı
Hyundai i30,20 000 AZN,2015,1.6 L,168 000 km,Bakı
Tesla Model 3,28 900 $,2018,0.0 L,100 000 km,Bakı
Mercedes E 250,25 500 $,2015,2.5 L,239 297 km,Bakı
Chery eQ7,51 200 AZN,2024,0.0 L,0 km,Bakı
Nissan Kicks,34 900 AZN,2023,1.6 L,0 km,Bakı
Li Auto L7,49 900 $,2024,1.5 L,0 km,Bakı
Renault Megane,6 800 AZN,2006,1.5 L,535 000 km,Bakı
BMW 528,30 800 AZN,2015,2.0 L,170 000 km,Bakı
LADA (VAZ) 2109,3 200 AZN,1991,1.5 L,325 487 km,Gəncə
Jeep Grand Cherokee,41 000 $,2014,6.4 L,130 000 km,Bakı
GAZ 31105,9 500 AZN,2005,2.3 L,90 000 km,Bakı
Honda Insight,12 900 AZN,2010,1.3 L,220 000 km,Bakı
